match_id;competition;match_week;season;match_date;stadium;home_team;away_team;home_score;away_score
3895052;Germany - 1. Bundesliga;1;2023/2024;2023-08-19;BayArena;Bayer Leverkusen;RB Leipzig;3;2
3895060;Germany - 1. Bundesliga;2;2023/2024;2023-08-26;Stadion im BORUSSIA-PARK;Borussia Mönchengladbach;Bayer Leverkusen;0;3
3895067;Germany - 1. Bundesliga;3;2023/2024;2023-09-02;BayArena;Bayer Leverkusen;Darmstadt 98;5;1
3895074;Germany - 1. Bundesliga;4;2023/2024;2023-09-15;Allianz Arena;Bayern Munich;Bayer Leverkusen;2;2
3895086;Germany - 1. Bundesliga;5;2023/2024;2023-09-24;BayArena;Bayer Leverkusen;FC Heidenheim;4;1
3895095;Germany - 1. Bundesliga;6;2023/2024;2023-09-30;Mewa Arena;FSV Mainz 05;Bayer Leverkusen;0;3
3895107;Germany - 1. Bundesliga;7;2023/2024;2023-10-08;BayArena;Bayer Leverkusen;FC Köln;3;0
3895113;Germany - 1. Bundesliga;8;2023/2024;2023-10-21;Volkswagen Arena;Wolfsburg;Bayer Leverkusen;1;2
3895121;Germany - 1. Bundesliga;9;2023/2024;2023-10-29;BayArena;Bayer Leverkusen;Freiburg;2;1
3895134;Germany - 1. Bundesliga;10;2023/2024;2023-11-04;PreZero Arena;Hoffenheim;Bayer Leverkusen;2;3
3895139;Germany - 1. Bundesliga;11;2023/2024;2023-11-12;BayArena;Bayer Leverkusen;Union Berlin;4;0
3895153;Germany - 1. Bundesliga;12;2023/2024;2023-11-25;Wohninvest Weserstadion ;Werder Bremen;Bayer Leverkusen;0;3
3895158;Germany - 1. Bundesliga;13;2023/2024;2023-12-03;BayArena;Bayer Leverkusen;Borussia Dortmund;1;1
3895167;Germany - 1. Bundesliga;14;2023/2024;2023-12-10;MHPArena;VfB Stuttgart;Bayer Leverkusen;1;1
3895180;Germany - 1. Bundesliga;15;2023/2024;2023-12-17;BayArena;Bayer Leverkusen;Eintracht Frankfurt;3;0
3895182;Germany - 1. Bundesliga;16;2023/2024;2023-12-20;BayArena;Bayer Leverkusen;Bochum;4;0
3895194;Germany - 1. Bundesliga;17;2023/2024;2024-01-13;WWK Arena;Augsburg;Bayer Leverkusen;0;1
3895202;Germany - 1. Bundesliga;18;2023/2024;2024-01-20;Red Bull Arena;RB Leipzig;Bayer Leverkusen;2;3
3895210;Germany - 1. Bundesliga;19;2023/2024;2024-01-27;BayArena;Bayer Leverkusen;Borussia Mönchengladbach;0;0
3895220;Germany - 1. Bundesliga;20;2023/2024;2024-02-03;Merck-Stadion am Böllenfalltor;Darmstadt 98;Bayer Leverkusen;0;2
3895232;Germany - 1. Bundesliga;21;2023/2024;2024-02-10;BayArena;Bayer Leverkusen;Bayern Munich;3;0
3895244;Germany - 1. Bundesliga;22;2023/2024;2024-02-17;Voith-Arena;FC Heidenheim;Bayer Leverkusen;1;2
3895250;Germany - 1. Bundesliga;23;2023/2024;2024-02-23;BayArena;Bayer Leverkusen;FSV Mainz 05;2;1
3895258;Germany - 1. Bundesliga;24;2023/2024;2024-03-03;RheinEnergieStadion;FC Köln;Bayer Leverkusen;0;2
3895266;Germany - 1. Bundesliga;25;2023/2024;2024-03-10;BayArena;Bayer Leverkusen;Wolfsburg;2;0
3895275;Germany - 1. Bundesliga;26;2023/2024;2024-03-17;Europa-Park Stadion;Freiburg;Bayer Leverkusen;2;3
3895286;Germany - 1. Bundesliga;27;2023/2024;2024-03-30;BayArena;Bayer Leverkusen;Hoffenheim;2;1
3895292;Germany - 1. Bundesliga;28;2023/2024;2024-04-06;Stadion An der Alten Försterei;Union Berlin;Bayer Leverkusen;0;1
3895302;Germany - 1. Bundesliga;29;2023/2024;2024-04-14;BayArena;Bayer Leverkusen;Werder Bremen;5;0
3895309;Germany - 1. Bundesliga;30;2023/2024;2024-04-21;Signal-Iduna-Park;Borussia Dortmund;Bayer Leverkusen;1;1
3895320;Germany - 1. Bundesliga;31;2023/2024;2024-04-27;BayArena;Bayer Leverkusen;VfB Stuttgart;2;2
3895333;Germany - 1. Bundesliga;32;2023/2024;2024-05-05;Deutsche Bank Park;Eintracht Frankfurt;Bayer Leverkusen;1;5
3895340;Germany - 1. Bundesliga;33;2023/2024;2024-05-12;Vonovia Ruhrstadion;Bochum;Bayer Leverkusen;0;5
3895348;Germany - 1. Bundesliga;34;2023/2024;2024-05-18;BayArena;Bayer Leverkusen;Augsburg;2;1
