player_id;jersey_number;player_name;country;main_position;starts;x;y
8667;1;Lukáš Hrádecký;Finland;Goalkeeper;33;50;5
3500;34;Granit Xhaka;Switzerland;Right Defensive Midfield;32;65;33
10336;20;Alejandro Grimaldo García;Spain;Left Wing Back;31;15;35
8221;4;Jonathan Tah;Germany;Center Back;30;50;20
32712;30;Jeremie Frimpong;Netherlands;Right Wing Back;27;85;35
8804;7;Jonas Hofmann;Germany;Right Attacking Midfield;26;65;45
40724;10;Florian Wirtz;Germany;Left Attacking Midfield;26;35;45
30606;12;Edmond Fayçal Tapsoba;Burkina Faso;Left Center Back;23;30;20
28268;25;Exequiel Alejandro Palacios;Argentina;Left Defensive Midfield;21;35;33
27133;6;Odilon Kossonou;Côte d'Ivoire;Right Center Back;21;70;20
32289;22;Victor Okoh Boniface;Nigeria;Center Forward;18;50;55
